,標題,期刊,年分,連結
0,[HTML][HTML] Job crafting: Towards a new model of individual job redesign, SA Journal of Industrial Psychology,['2010'],http://www.scielo.org.za/scielo.php?pid=S2071-07632010000200003&script=sci_arttext&tlng=es
1,Development and validation of the job crafting scale, Journal of vocational behavior,['2012'],https://www.sciencedirect.com/science/article/pii/S0001879111000789
2,"The impact of job crafting on job demands, job resources, and well-being.", Journal of occupational health …,['2013'],https://psycnet.apa.org/record/2013-09159-001
3,Job crafting and meaningful work., ,['2013'],https://psycnet.apa.org/record/2012-34174-005
4,Proactive personality and job performance: The role of job crafting and work engagement, Human relations,['2012'],https://journals.sagepub.com/doi/abs/10.1177/0018726712453471
5,Design your own job through job crafting, European Psychologist,['2014'],https://econtent.hogrefe.com/doi/full/10.1027/1016-9040/a000188
6,Job crafting and job performance: A longitudinal study, European Journal of Work and …,['2015'],https://www.tandfonline.com/doi/abs/10.1080/1359432X.2014.969245
7,"Job crafting: A meta-analysis of relationships with individual differences, job characteristics, and work outcomes", Journal of Vocational …,['2017'],https://www.sciencedirect.com/science/article/pii/S0001879117300477
8,Job crafting and its relationships with person–job fit and meaningfulness: A three-wave study, Journal of Vocational Behavior,['2016'],https://www.sciencedirect.com/science/article/pii/S0001879115300129
9,Reorienting job crafting research: A hierarchical structure of job crafting concepts and integrative review, Journal of Organizational Behavior,['2019'],https://onlinelibrary.wiley.com/doi/abs/10.1002/job.2332
